policy,seed,err_rate,rounds_to_target,cum_time,final_gain,final_regret
ctx+LLM先验(正确),3,0.169313,17,253.333333,5.232781,1.781147
ctx+LLM先验(正确),4,0.168133,15,254.222222,5.224369,1.791982
ctx+LLM先验(正确),5,0.184024,19,255.333333,5.505346,1.494396
ctx+LLM先验(正确),6,0.166449,17,248.888889,5.050639,1.944377
ctx+LLM先验(正确),7,0.170981,14,256.444444,5.570078,1.445135
ctx+LLM先验(正确),8,0.174022,17,255.111111,5.276558,1.737627
ctx+LLM先验(正确),9,0.166209,19,248.666667,5.051156,1.967186
ctx+LLM先验(正确),10,0.178400,21,251.777778,5.352794,1.630259
ctx+LLM先验(正确),11,0.174810,19,252.888889,5.461608,1.554750
ctx+LLM先验(正确),12,0.179879,21,249.111111,5.289337,1.700993
ctx+LLM先验(正确),13,0.172660,20,249.333333,5.177568,1.826548
ctx+LLM先验(正确),14,0.177949,17,255.555556,5.526505,1.471761
ctx+LLM先验(正确),15,0.175876,18,255.111111,5.265172,1.745550
ctx+LLM先验(正确),16,0.173383,21,250.000000,5.182561,1.815967
ctx+LLM先验(正确),17,0.171891,17,253.555556,5.223437,1.792771
ctx+LLM先验(正确),18,0.171542,19,251.333333,5.039756,1.972274
ctx+LLM先验(正确),19,0.168423,20,249.111111,5.164846,1.855573
ctx+LLM先验(正确),20,0.179064,18,253.333333,5.409842,1.582256
ctx+LLM先验(正确),21,0.175030,21,248.222222,5.183819,1.813772
ctx+LLM先验(正确),22,0.168187,23,248.000000,4.992738,2.030646
ctx+LLM先验(正确),23,0.174634,17,252.888889,5.058969,1.957259
ctx+LLM先验(正确),24,0.173918,17,252.222222,5.394541,1.595365
ctx+LLM先验(正确),25,0.171165,17,254.444444,5.225517,1.790876
ctx+LLM先验(正确),26,0.169409,17,254.000000,5.544583,1.473931
ctx+LLM先验(正确),27,0.175838,18,252.666667,5.235129,1.770551
ctx+LLM先验(正确),28,0.171412,21,249.777778,5.073109,1.925990
ctx+LLM先验(正确),29,0.170585,18,249.777778,5.356773,1.633160
ctx+LLM先验(正确),30,0.174158,22,250.444444,5.277931,1.725945
ctx+LLM先验(正确),31,0.169966,20,248.666667,5.232734,1.759227
ctx+LLM先验(正确),32,0.174961,17,256.666667,5.447078,1.569621
ctx+LLM先验(正确),33,0.179551,17,254.222222,5.533571,1.457842
ctx+LLM先验(正确),34,0.165238,17,250.000000,5.228362,1.785973
ctx+LLM先验(正确),35,0.181003,19,251.777778,5.266883,1.715631
ctx+LLM先验(正确),36,0.169489,23,246.444444,5.027476,1.973329
ctx+LLM先验(正确),37,0.171173,19,251.555556,5.135397,1.876718
ctx+LLM先验(正确),38,0.170266,16,254.222222,5.463246,1.555021
ctx+LLM先验(正确),39,0.173244,17,252.888889,5.399013,1.593168
ctx+LLM先验(正确),40,0.170104,20,250.444444,5.287800,1.718915
ctx+LLM先验(正确),41,0.169080,17,254.000000,5.280428,1.736936
ctx+LLM先验(正确),42,0.173772,20,251.555556,5.184604,1.831972
ctx+LLM先验(正确),43,0.162952,15,251.555556,5.305892,1.706736
ctx+LLM先验(正确),44,0.172112,19,252.888889,5.290938,1.725316
ctx+LLM先验(正确),45,0.172995,19,253.111111,5.424237,1.590476
ctx+LLM先验(正确),46,0.172805,17,254.888889,5.382113,1.627989
ctx+LLM先验(正确),47,0.170263,18,253.111111,5.367914,1.646985
ctx+LLM先验(正确),48,0.166987,17,250.222222,5.249843,1.763103
ctx+LLM先验(正确),49,0.171431,17,252.000000,5.383873,1.630304
ctx+LLM先验(正确),50,0.182499,21,253.333333,5.347880,1.656391
ctx+LLM先验(正确),51,0.169685,17,252.888889,5.286443,1.715641
ctx+LLM先验(正确),52,0.170922,17,252.000000,5.060186,1.954300
ctx+LLM先验(正确),53,0.167939,17,251.777778,5.285273,1.723703
ctx+LLM先验(正确),54,0.175475,17,254.444444,5.385522,1.633453
ctx+LLM先验(正确),55,0.168611,19,250.666667,5.417006,1.584848
ctx+LLM先验(正确),56,0.164038,20,246.444444,5.176858,1.835229
ctx+LLM先验(正确),57,0.172504,20,252.666667,5.239970,1.768075
ctx+LLM先验(正确),58,0.178112,18,251.777778,5.146558,1.854804
ctx+LLM先验(正确),59,0.175121,18,252.666667,5.223257,1.779392
ctx+LLM先验(错误,偏难),0,0.226277,30,250.666667,4.519081,2.491549
ctx+LLM先验(错误,偏难),1,0.226421,32,252.222222,4.478298,2.548388
ctx+LLM先验(错误,偏难),2,0.240574,32,250.666667,4.448430,2.564805
ctx+LLM先验(错误,偏难),3,0.232890,35,252.444444,4.525570,2.492580
ctx+LLM先验(错误,偏难),4,0.225161,29,255.111111,4.630439,2.390241
ctx+LLM先验(错误,偏难),5,0.242727,33,252.000000,4.653526,2.333412
ctx+LLM先验(错误,偏难),6,0.233796,33,251.777778,4.487181,2.516591
ctx+LLM先验(错误,偏难),7,0.236508,26,261.333333,5.076359,1.946788
ctx+LLM先验(错误,偏难),8,0.242429,34,255.333333,4.540622,2.475976
ctx+LLM先验(错误,偏难),9,0.234299,36,251.333333,4.422751,2.589034
ctx+LLM先验(错误,偏难),10,0.262609,35,252.000000,4.582272,2.390121
ctx+LLM先验(错误,偏难),11,0.240871,39,249.555556,4.800556,2.224150
ctx+LLM先验(错误,偏难),12,0.246978,37,249.333333,4.527896,2.457288
ctx+LLM先验(错误,偏难),13,0.236529,34,250.000000,4.482066,2.522873
ctx+LLM先验(错误,偏难),14,0.242105,33,253.111111,4.690868,2.301907
ctx+LLM先验(错误,偏难),15,0.242975,39,250.888889,4.368127,2.647608
ctx+LLM先验(错误,偏难),16,0.245781,39,247.777778,4.325827,2.674996
ctx+LLM先验(错误,偏难),17,0.220126,34,248.222222,4.518685,2.505816
ctx+LLM先验(错误,偏难),18,0.235605,33,249.555556,4.323659,2.681769
ctx+LLM先验(错误,偏难),19,0.243916,37,250.888889,4.456140,2.561341
ctx+LLM先验(错误,偏难),20,0.238809,33,248.666667,4.515305,2.473804
ctx+LLM先验(错误,偏难),21,0.258077,38,250.888889,4.364882,2.644965
ctx+LLM先验(错误,偏难),22,0.238433,34,250.444444,4.453515,2.574586
ctx+LLM先验(错误,偏难),23,0.238007,31,252.000000,4.426397,2.598350
ctx+LLM先验(错误,偏难),24,0.248358,38,250.888889,4.645475,2.341739
ctx+LLM先验(错误,偏难),25,0.245364,34,253.333333,4.426369,2.599291
ctx+LLM先验(错误,偏难),26,0.231337,30,253.111111,4.734966,2.283964
ctx+LLM先验(错误,偏难),27,0.243572,35,251.777778,4.414303,2.588625
ctx+LLM先验(错误,偏难),28,0.247903,38,248.666667,4.253555,2.749382
ctx+LLM先验(错误,偏难),29,0.238402,30,252.222222,4.603257,2.370583
ctx+LLM先验(错误,偏难),30,0.242795,33,252.222222,4.726164,2.274038
ctx+LLM先验(错误,偏难),31,0.236762,36,247.555556,4.528667,2.447129
ctx+LLM先验(错误,偏难),32,0.230425,30,254.444444,4.615251,2.411138
ctx+LLM先验(错误,偏难),33,0.236533,31,252.444444,4.804359,2.192157
ctx+LLM先验(错误,偏难),34,0.249188,36,251.333333,4.387321,2.632992
ctx+LLM先验(错误,偏难),35,0.235327,37,247.111111,4.419576,2.563496
ctx+LLM先验(错误,偏难),36,0.242636,39,252.666667,4.582873,2.413309
ctx+LLM先验(错误,偏难),37,0.252835,39,250.444444,4.371047,2.642384
ctx+LLM先验(错误,偏难),38,0.243913,30,257.111111,4.774783,2.251139
ctx+LLM先验(错误,偏难),39,0.239723,31,251.111111,4.507369,2.488894
ctx+LLM先验(错误,偏难),40,0.242309,37,250.888889,4.713492,2.281238
ctx+LLM先验(错误,偏难),41,0.232975,30,256.222222,4.815615,2.207668
ctx+LLM先验(错误,偏难),42,0.245650,37,250.666667,4.513993,2.509051
ctx+LLM先验(错误,偏难),43,0.229536,34,252.000000,4.547236,2.482744
ctx+LLM先验(错误,偏难),44,0.235636,32,253.777778,4.583590,2.437987
